blind_id,source_kind,arm,task,round,judge_part,layout_hierarchy,layout_hierarchy_gold_centered,spacing_alignment_balance,spacing_alignment_balance_gold_centered,color_typography,color_typography_gold_centered,style_originality_finish,style_originality_finish_gold_centered,overall,overall_gold_centered
K285,main,MAD,ab000006,3,3,82,79.458,78,74.833,80,77.278,82,79.722,80,76.958
K286,main,AXES,ab000005,3,1,55,55.458,58,57.167,70,71.333,61,58.333,57,56.625
K287,main,AXES,ab000002,1,2,73,75.236,71,74.722,78,79.833,70,74.056,72,75.292
K288,main,SELF,ab000009,1,3,82,79.458,84,80.833,76,73.278,72,69.722,79,75.958
K289,main,AXES,ab000012,2,1,77,77.458,78,77.167,80,81.333,78,75.333,77,76.625
K290,main,AXES,ab000003,2,2,76,78.236,75,78.722,74,75.833,72,76.056,74,77.292
K291,main,FUSED,ab000009,3,3,83,80.458,85,81.833,78,75.278,73,70.722,80,76.958
K292,main,AXES,ab000007,3,1,62,62.458,67,66.167,79,80.333,74,71.333,63,62.625
K293,main,MAD,ab000007,0,2,45,47.236,40,43.722,71,72.833,46,50.056,44,47.292
K294,main,FUSED,ab000009,1,3,83,80.458,85,81.833,79,76.278,74,71.722,81,77.958
K295,gold,GOLD,ab000012,2,1,81,81.458,83,82.167,82,83.333,84,81.333,82,81.625
K296,main,FUSED,ab000002,3,2,78,80.236,73,76.722,84,85.833,77,81.056,77,80.292
K297,main,SELF,ab000006,2,3,84,81.458,82,78.833,78,75.278,80,77.722,81,77.958
K298,main,MAD,ab000003,2,1,82,82.458,80,79.167,78,79.333,80,77.333,79,78.625
K299,main,AXES,ab000010,3,2,81,83.236,76,79.722,82,83.833,79,83.056,79,82.292
K300,main,MAD,ab000002,3,3,66,63.458,68,64.833,76,73.278,73,70.722,70,66.958
K301,main,SELF,ab000012,4,1,84,84.458,84,83.167,84,85.333,84,81.333,84,83.625
K302,gold,GOLD,ab000002,4,2,86,88.236,84,87.722,85,86.833,85,89.056,85,88.292
K303,main,FUSED,ab000001,5,3,49,46.458,48,44.833,72,69.278,61,58.722,56,52.958
K304,main,AXES,ab000005,1,1,76,76.458,80,79.167,76,77.333,77,74.333,76,75.625
K305,main,AXES,ab000003,1,2,77,79.236,73,76.722,75,76.833,72,76.056,74,77.292
K306,main,MAD,ab000010,2,3,83,80.458,81,77.833,85,82.278,82,79.722,83,79.958
K307,main,AXES,ab000007,2,1,61,61.458,66,65.167,78,79.333,73,70.333,62,61.625
K308,main,SELF,ab000002,4,2,45,47.236,40,43.722,68,69.833,48,52.056,44,47.292
K309,main,SELF,ab000009,4,3,82,79.458,84,80.833,76,73.278,72,69.722,79,75.958
K310,main,AXES,ab000005,2,1,76,76.458,80,79.167,77,78.333,78,75.333,77,76.625
K311,main,MAD,ab000005,1,2,80,82.236,82,85.722,79,80.833,79,83.056,80,83.292
K312,main,FUSED,ab000005,4,3,86,83.458,90,86.833,82,79.278,78,75.722,84,80.958
